Year,NATURE,Value
2000,CA,11.74
2001,CA,8.89
2002,CA,7.3
2003,CA,6.6
2004,CA,7.96
2005,CA,6.26
2006,CA,6.86
2007,CA,9.64
2008,CA,7.73
2009,CA,9.41
2010,CA,10.92
2011,CA,10.41
2012,CA,11.42
2013,CA,16.7
2014,CA,16.07
2015,CA,16.07
2016,CA,16.07
2017,CA,16.07
2018,CA,16.07
2019,E,16.07
