Year,Value
2000,681.71064
2001,1048.57064
2002,1089.33
2003,1642.01167
2004,1674.04467
2005,1920.23467
2006,2017.906
2007,2519.76411
2008,3178.78775
2009,4069.68885
2010,3709.96066
2011,3510.69249
2012,3324.81034
2013,3861.38199
2014,3874.43073
2015,4120.9703
2016,4943.8072
2017,5262.0776
2018,5406.62932
2019,4793.37419
2020,5458.11075
