Year,Value
2000,1.2
2001,1.03
2002,0.9
2003,0.8
2004,0.71
2005,0.66
2006,0.58
2007,0.52
2008,0.45
2009,0.41
2010,0.36
2011,0.32
2012,0.28
2013,0.24
2014,0.22
2015,0.2
2016,0.19
2017,0.17
2018,0.15
2019,0.13
2020,0.12
