From,To
NATURE,SOURCE_DETAIL
SOURCE_DETAIL,SDG Series
SDG Series,Source details
Education level,Sex
Education level,Degree of urbanisation
Observation-level footnotes,Income or wealth quantile
Source details,Education level
Education level,Observation-level footnotes
Observation-level footnotes,COMMENT_OBS
