Year,UPPER_BOUND,LOWER_BOUND,Age,Upper bound value,Lower bound value,Value
2018,33.5,14.6,15 years old and over,33.5,14.6,22.8
2018,38.4,17.1,15 to 49 years old,38.4,17.1,26.5
