Value,Disaggregation combinations using this value,Number of indicators
Constant USD,4,2
Hectares,5,2
Index,3,1
Kilograms per constant USD,42,3
Kilograms,3,1
Local currency,1,1
Metric Tons,83,4
Number,250,18
Passenger kilometres,3,1
Per 100 population,4,1
"Per 1,000 live births",7,2
"Per 100,000 population",25,5
Percent,156,21
Ratio,9,2
Square kilometers,6,2
Tonne kilometres,4,1
Tonnes per hectare,1,1
USD,23,4
