Indicator,Disaggregation combinations using this value
#1-3-1,17
#1-a-2,1
#15-1-1,3
#15-2-1,1
#17-6-1,5
#17-8-1,1
#2-5-1,5
#2-5-2,8
#2-a-1,2
#3-3-3,17
#4-1-2,9
#4-2-2,3
#4-5-1,2
#4-c-1,3
#9-2-1,2
#9-b-1,1
#9-c-1,5
