Value,Disaggregation combinations using this value,Number of indicators
0.5034,5,1
10276,5,1
10660,5,1
11.3,15,1
11.5,6,1
11.9,6,1
1196,5,1
1.1,5,1
12.7,5,1
14336,5,1
1442.5,6,1
1.44674,5,1
14.6,1,1
16,19,1
16.3169,5,1
16.4303,9,1
16.6,20,1
16.9,6,1
1.6,5,1
17.1,1,1
17807.3,6,1
18495.4,6,1
18.7,20,1
19387.5,6,1
1.9,16,1
2.1,10,2
21229,5,1
22.1,5,1
2.39348,5,1
2946,5,1
29540,5,1
31.5,5,1
31888,5,1
32043,5,1
322,21,1
32.3,21,1
3.7,5,1
3923.9,6,1
4139.2,6,1
4141,5,1
4145,5,1
51.2,6,1
52.3,6,1
5.3,5,1
54,6,1
5421.8,21,1
60056.5,6,1
6130,5,1
61583,5,1
6262,5,1
8074,5,1
9.1,6,1
