Value,Disaggregation combinations using this value,Number of indicators
0.09329,1,1
0.14727,1,1
0.26187,1,1
0.26433,1,1
0.36903,1,1
0.41874,1,1
0.44155,1,1
0.5034,1,1
0.69885,1,1
0.74166,1,1
0.8283,1,1
0.82899,1,1
0.82917,1,1
0.82943,1,1
0.83093,1,1
0.83096,1,1
0.83105,1,1
0.83231,1,1
0.83263,1,1
0.83304,1,1
0.8334,1,1
0.83395,1,1
0.83452,1,1
0.83569,1,1
0.8363,1,1
0.8366,1,1
0.83735,1,1
0.83755,1,1
0.83803,1,1
0.83866,1,1
0.83882,1,1
0.83938,1,1
0.83966,1,1
0.83975,1,1
0.84005,1,1
0.84036,1,1
0.84041,1,1
0.84045,1,1
0.84056,1,1
0.84073,1,1
10,1,1
102,1,1
10276,1,1
103,2,1
10.4,2,1
1.05297,1,1
105.434,1,1
105,2,1
106,2,1
10660,1,1
107,1,1
108,1,1
10.9,1,1
11,1,1
11.1,1,1
11.2,2,2
11.2806,1,1
11.2906,1,1
112,1,1
11.3,3,1
11.3767,1,1
11.4,1,1
1145,1,1
1157,1,1
11.5,1,1
11.7,1,1
11.8,1,1
11.8859,1,1
11947,1,1
1196,1,1
11.9943,1,1
11.9,3,3
1.1,1,1
12,1,1
12083,1,1
12.1,1,1
12.2,3,2
12.2845,1,1
12.296,1,1
1.23919,1,1
12.3951,1,1
12.4,1,1
12.5,1,1
12515.1,1,1
12.5335,1,1
125,1,1
12.6807,1,1
12.6981,1,1
12.7,2,2
1275.9,1,1
1.27,1,1
12.8173,1,1
12874,1,1
1.2,1,1
13.0055,1,1
13086,1,1
13122.2,1,1
13.1303,1,1
13191.8,1,1
13277,1,1
133,1,1
13308.8,1,1
13.3583,1,1
13.379,1,1
13.5,1,1
1.36,1,1
13.7,1,1
138.41,1,1
13.9172,1,1
13945.8,1,1
1407.7,1,1
14.1,2,2
14336,1,1
1442.5,1,1
1.44674,1,1
1450,1,1
14512,1,1
1453,1,1
14.6902,1,1
14.6,1,1
14.7015,1,1
1503.4,1,1
15056.9,1,1
1537,1,1
15563.8,1,1
15652.6,1,1
15.7,1,1
15736.1,1,1
15746.8,1,1
15798.2,1,1
15.9,1,1
16067,1,1
16.2,1,1
16.3169,1,1
16.4303,1,1
16458.5,1,1
16.5637,1,1
16.6,1,1
16.7,1,1
16903.4,1,1
16.9,1,1
1.6,1,1
16,1,1
17,1,1
17.1,1,1
17.2,1,1
