Indicator,Disaggregation combinations using this value
#1-a-2,1
#15-1-1,2
#15-2-1,4
#17-6-1,11
#17-8-1,3
#2-2-2,2
#2-5-1,3
#2-5-2,5
#2-a-1,6
#3-7-2,5
#4-1-2,675
#4-2-2,3
#4-5-1,565
#4-c-1,18
#7-1-1,2
#9-1-2,2
#9-c-1,3
