Value,Disaggregation combinations using this value,Number of indicators
10.9,6,1
1.10871,5,1
11.2,5,1
11586,5,1
11668,5,1
147833,5,1
14842,5,1
15.5,6,1
15513,5,1
16.2,6,1
16.3169,5,1
16.4303,9,1
1731.8,6,1
19.6,5,1
20109.4,6,1
20789.1,6,1
22.4,6,1
2355,5,1
24.1,5,1
24.7,5,1
25.4,5,1
25779.9,6,1
26428,5,1
26947,5,1
27181,5,1
3.10384,5,1
3.2,5,1
33,19,1
33.3,20,1
33.5,1,1
34.1,5,1
3.6,16,1
38.4,1,1
38.5,21,1
40,20,1
4.2,5,1
48.7,5,1
50430,5,1
5.12206,5,1
5306.8,6,1
5622.2,6,1
57.8,6,1
5.8,5,1
597.5,21,1
60.2,6,1
60.7,6,1
6268,5,1
6470.2,21,1
69280.1,6,1
72755,5,1
75078,5,1
7.7,5,1
77377,5,1
8.4,5,1
8624,5,1
