Value,Disaggregation combinations using this value,Number of indicators
0.46468,1,1
0.59413,1,1
0.79413,1,1
0.84462,1,1
0.8564,1,1
0.85641,1,1
0.85643,1,1
0.85648,1,1
0.85651,1,1
0.85657,1,1
0.85658,1,1
0.85669,1,1
0.857,1,1
0.85704,1,1
0.85705,1,1
0.85706,1,1
0.85736,1,1
0.85768,1,1
0.85794,1,1
0.85812,1,1
0.85843,1,1
0.85909,1,1
0.8599,1,1
0.86082,1,1
0.86137,1,1
0.86146,1,1
0.86215,1,1
0.86344,1,1
0.86398,1,1
0.86515,1,1
0.86602,1,1
0.86676,1,1
0.86689,1,1
0.86852,1,1
10074,1,1
1030,1,1
10304,1,1
10320,1,1
10.4,1,1
10.5,1,1
1050,1,1
10.7,1,1
10.8,1,1
10913,1,1
10.9,1,1
11056,1,1
1.10871,1,1
1110,1,1
11.2,1,1
115.831,1,1
11586,1,1
11668,1,1
1170,1,1
1180,1,1
11.8,1,1
1190,1,1
11925,1,1
119542,1,1
11,2,1
120964,1,1
123551,1,1
12.4001,1,1
12.4101,1,1
12489,1,1
12.4962,1,1
12498,1,1
1250,1,1
12766,1,1
13.0054,1,1
13096,1,1
13.1138,1,1
1.31677,1,1
13.2,1,1
132484,1,1
13.4,2,2
13.5741,1,1
13.5856,1,1
13659,1,1
13.6847,1,1
13.8,1,1
14138,1,1
14145,1,1
14.2713,1,1
14.3961,1,1
14.468,1,1
14.4778,1,1
14.5,1,1
14.6,1,1
147833,1,1
14.8,1,1
14842,1,1
14.9,1,1
15.0161,1,1
15.3,1,1
15405,1,1
15513,1,1
15.5298,1,1
1558.4,1,1
15.5,2,1
15.6,1,1
15.6218,1,1
15.6393,1,1
1575.5,1,1
15.7585,1,1
15.7,1,1
15905,1,1
15.956,1,1
15.9674,1,1
16.1,1,1
16.2,1,1
16.3,1,1
16.3169,1,1
16.4,1,1
16.4303,1,1
1654.3,1,1
16.5874,1,1
16.6,1,1
166.374,1,1
16642.2,1,1
1.66826,1,1
1.67,1,1
16789.4,1,1
17.1,2,1
17.3,2,1
1731.8,1,1
17464.8,1,1
17.5,1,1
17754,1,1
17768.7,1,1
17.8,1,1
178,1,1
17944.8,1,1
18068.8,1,1
18160,1,1
18161.2,1,1
18.2,1,1
18.2164,1,1
18276.7,1,1
18306.4,1,1
18.4,1,1
18417,1,1
1.85,1,1
1873.2,1,1
18.8,1,1
188,1,1
18955.7,1,1
19492,1,1
19.6,1,1
19886.6,1,1
20109.4,1,1
20118.5,1,1
20.1,1,1
20389.4,1,1
20789.1,1,1
20.8,1,1
209,1,1
21096.2,1,1
2163,1,1
21999,1,1
2.20168,1,1
2.21043,1,1
22224,1,1
22.4,1,1
22723,1,1
23086,1,1
231,1,1
2355,1,1
237.375,1,1
2.38325,1,1
23964,1,1
24.1,1,1
24.5,1,1
24.7,1,1
2504,1,1
25050,1,1
25.2,1,1
25201,1,1
25.4,1,1
257,1,1
25779.9,1,1
26.1,1,1
26428,1,1
26.5,1,1
26.7,1,1
26.9,1,1
26947,1,1
27.1,1,1
27181,1,1
27.3,2,2
27.4,1,1
274,1,1
27.5,1,1
2754,1,1
2756,1,1
27.6,2,1
27.7,1,1
27894,1,1
279.143,1,1
28,1,1
2.81014,1,1
28.2,1,1
28.3,1,1
28.6,1,1
28.7,1,1
28.8,1,1
29000,1,1
291.379,1,1
29.2,1,1
29.3,1,1
30,1,1
30.4,1,1
30.5,1,1
30.8,1,1
3.1,2,1
3.10384,1,1
31.1,1,1
31.2,1,1
31.4,1,1
31.6,1,1
32,1,1
32.4,1,1
32.5,1,1
32.6,1,1
3.2,3,2
33.2,1,1
33.3,1,1
33.5,1,1
33.6,1,1
336.757,1,1
3.37,1,1
3.3,1,1
33,1,1
3.4,2,1
34.1,1,1
343,1,1
35.1,2,1
351.589,1,1
35.2,1,1
35.3,1,1
35.4,1,1
35.5,1,1
35732,1,1
35.8,1,1
36,1,1
36270,1,1
36382,1,1
363.877,1,1
36.7,2,1
3.6,2,1
37,1,1
37.1,1,1
3.73011,1,1
37.7,1,1
38,1,1
381.929,1,1
382.918,1,1
38.3,1,1
38.4,1,1
38.5,4,3
385,1,1
387.39,1,1
38.8,1,1
3.8,1,1
39.1,1,1
39.2,1,1
39.4,1,1
3.95447,1,1
39.9,1,1
3,2,1
403.019,1,1
40.4,1,1
40.5,2,2
40,2,1
41,1,1
412,1,1
41.3,1,1
41.4,1,1
41.6,1,1
416.425,1,1
41.7,2,1
4.2,2,2
4221.2,1,1
42260,1,1
423,1,1
42.6,1,1
42.9,1,1
42,1,1
4.3,2,2
43.5,1,1
43.6,2,1
43.9,1,1
4.4,3,2
44.5,1,1
445.176,1,1
44.8,1,1
448.1,2,1
44.9,1,1
450.907,1,1
45.3,1,1
453.2,1,1
453.3,1,1
456.943,1,1
45.8,1,1
46,1,1
46.1,1,1
46.2,1,1
463.9,1,1
464.3,1,1
47,1,1
4711.4,1,1
47.2,1,1
480.1,1,1
481.9,1,1
4832.5,1,1
48.4,1,1
48.7,1,1
4886.2,1,1
49.6,1,1
496.374,1,1
4986.8,1,1
4,1,1
500.6,1,1
503.5,1,1
504,1,1
50430,1,1
50.9,1,1
5.12206,1,1
5142.1,1,1
5158.5,1,1
51.8357,1,1
5193.8,1,1
52.1,1,1
524.4,1,1
5265.3,1,1
526.6,1,1
529.1,1,1
5.3,1,1
5306.8,1,1
53.4,1,1
5372.3,1,1
53892,1,1
54136,1,1
546,1,1
54.7,1,1
549.4,1,1
5552,1,1
55761,1,1
558.4,1,1
56,1,1
560.1,1,1
56.2,1,1
5622.2,1,1
56.3,1,1
56.5771,1,1
5670,1,1
5.7,1,1
572.3,1,1
573,1,1
57.4,1,1
57.6,1,1
578.9,1,1
57.8,1,1
57953,1,1
58029,1,1
58.4,1,1
585,1,1
585.6,1,1
5879,1,1
588,2,2
58.9,1,1
5.8,1,1
5.9,1,1
59.3,1,1
59.4,1,1
59.7,1,1
59747,1,1
597.5,1,1
6004,1,1
60228.1,1,1
60.2,1,1
60.3,1,1
60.5,1,1
60.7,1,1
607,1,1
61,1,1
61.4,1,1
61.5,1,1
61513,1,1
61.7,1,1
6268,1,1
62.7,1,1
63011,1,1
63.1,1,1
632,1,1
633,1,1
63804,1,1
63909.4,1,1
64.1,1,1
6470.2,1,1
64842,1,1
6489.8,1,1
64983,1,1
6510.2,1,1
6511.8,1,1
6524.1,1,1
6524.6,1,1
6530.2,1,1
654,1,1
6546.6,1,1
6582.1,1,1
660.31,1,1
6638.1,1,1
67094.8,1,1
67201.1,1,1
6722.2,1,1
67551.8,1,1
67643,1,1
6805.7,1,1
681,1,1
682,1,1
6901,1,1
69280.1,1,1
6,1,1
7007.2,1,1
7121,1,1
715,1,1
7.2,1,1
7235.1,1,1
72755,1,1
7321.9,1,1
735,1,1
7413.7,1,1
7471.9,1,1
7485.9,1,1
75078,1,1
751,1,1
7517.7,1,1
7715,1,1
77377,1,1
7.7,2,1
793,1,1
796,1,1
8.1,1,1
81.0364,1,1
8.3,1,1
838,1,1
8383,1,1
8425,1,1
8.4,1,1
8624,1,1
863,1,1
8.7,1,1
8758,1,1
889,1,1
931,1,1
959,1,1
9.6,1,1
9726,1,1
994,1,1
