Value,Disaggregation combinations using this value,Number of indicators
Armed forces,2,1
Clerical support workers,3,1
Clerks,3,1
Craft and related trades workers,3,1
Dentists,1,1
Elementary occupations,3,1
"Legislators, senior officials and managers",3,1
Managers,3,1
Medical doctors,1,1
Not elsewhere classified,4,1
Nursing and midwifery personnel,1,1
Pharmacists,1,1
Plant and machine operators and assemblers,3,1
"Plant and machine operators, and assemblers",3,1
Professionals,3,1
Service and sales workers,3,1
Service workers and shop and market sales workers,3,1
Skilled agricultural and fishery workers,3,1
"Skilled agricultural, forestry and fishery workers",3,1
Technicians and associate professionals,3,1
