Indicator,Disaggregation combinations using this value
#1-1-1,4
#1-3-1,5
#16-7-1,5
#2-1-2,24
#2-3-1,2
#2-3-2,2
#3-2-1,4
#3-3-1,4
#3-4-1,25
#3-4-2,10
#3-5-1,1
#3-5-2,5
#3-6-1,5
#3-9-3,5
#3-a-1,1
#4-1-2,228
#4-2-2,2
#4-3-1,1
#4-5-1,111
#4-c-1,7
#5-4-1,3
#5-a-1,2
#8-10-2,1
#8-5-1,17
#8-5-2,6
#8-6-1,1
#8-7-1,2
