Year,Composite breakdown,Value
2016,Fiscal intervention stage: Postfiscal consumable income,32.82024
2016,Fiscal intervention stage: Postfiscal disposable income,32.77012
2016,Fiscal intervention stage: Prefiscal income,34.79729
