Year,COMMENT_OBS,Value
2000,"Commitments; Based on OECD, CRS databased, 2022; Constant 2020 USD million",107.59005
2001,"Commitments; Based on OECD, CRS databased, 2022; Constant 2020 USD million",214.02507
2002,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",139.64959
2003,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",83.10285
2004,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",187.83332
2005,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",134.26279
2006,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",182.88606
2007,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",281.76651
2008,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",384.07368
2009,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",874.99562
2010,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",408.26083
2011,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",448.49724
2012,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",459.62841
2013,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",322.51317
2014,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",491.28265
2015,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",198.69703
2016,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",189.14994
2017,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",244.16373
2018,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",545.14488
2019,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",556.42237
2020,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",1144.50405
