Year,SDG Series,Value
2005,Proportion of women in managerial positions [5.5.2],20.1
2013,Proportion of women in managerial positions [5.5.2],26.52
2005,Proportion of women in senior and middle management positions [5.5.2],15.1
2013,Proportion of women in senior and middle management positions [5.5.2],21.1
