Year,SDG Series,Value
2020,Proportion of open water bodies with good ambient water quality [6.3.2],100.0
2020,Proportion of river water bodies with good ambient water quality [6.3.2],96.43
2020,Proportion of bodies of water with good ambient water quality [6.3.2],96.77
