Year,COMMENT_OBS,Value
2000,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",191.00567
2001,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",79.15367
2002,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",361.65568
2003,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",208.87159
2004,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",243.93887
2005,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",294.47329
2006,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",411.22013
2007,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",383.66119
2008,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",444.94804
2009,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",590.09437
2010,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",365.2591
2011,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",482.15578
2012,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",376.62216
2013,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",518.94865
2014,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",436.00681
2015,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",430.19852
2016,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",497.62423
2017,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",617.06257
2018,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1081.04878
2019,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",874.45084
2020,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1039.40375
