Year,COMMENT_OBS,Value
2000,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",83.16448
2001,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",95.49243
2002,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",85.00301
2003,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",125.07033
2004,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",124.26781
2005,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",99.86514
2006,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",151.54215
2007,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",130.66366
2008,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",150.57237
2009,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",447.43046
2010,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",247.97175
2011,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",260.03636
2012,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",311.24799
2013,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",308.1394
2014,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",357.39291
2015,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",377.36317
2016,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",517.96396
2017,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",407.21898
2018,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",408.17226
2019,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",426.14057
2020,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",486.2758
