Year,NATURE,Value
2000,C,14.90773
2001,C,14.46177
2002,E,16.18775
2006,C,23.97538
2007,C,24.69945
2008,C,26.35573
2009,C,23.58375
2010,C,26.30404
2011,C,29.67443
2012,C,30.53954
2013,C,27.0211
2014,C,25.91838
2015,C,27.09871
2016,C,23.01336
2017,C,26.50992
2018,C,24.00155
