Year,UPPER_BOUND,LOWER_BOUND,Sex,Upper bound value,Lower bound value,Value
2000,10.5,2.9,,5.8,1.6,6.2
2005,10.7,3,,5.8,1.6,6.2
2010,8.1,2.4,,5.8,1.6,4.8
2015,5.9,1.7,,5.8,1.6,3.5
2019,5.8,1.6,,5.8,1.6,3.3
2000,5.3,1.9,Female,3.2,1.1,3.3
2005,6,2.1,Female,3.2,1.1,3.7
2010,4.4,1.7,Female,3.2,1.1,2.8
2015,3.2,1.2,Female,3.2,1.1,2.0
2019,3.2,1.1,Female,3.2,1.1,1.9
2000,15.7,3.9,Male,8.4,2.1,9.1
2005,15.3,3.9,Male,8.4,2.1,8.7
2010,11.8,3,Male,8.4,2.1,6.8
2015,8.7,2.3,Male,8.4,2.1,5.0
2019,8.4,2.1,Male,8.4,2.1,4.6
