Year,Value
2006,2.23912
2007,1.74912
2008,2.89835
2009,7.67697
2010,3.60424
2011,4.79953
2012,5.76088
2013,6.82602
2014,5.50588
2015,7.30168
2016,6.27021
2017,6.12814
2018,7.01672
2019,18.55728
2020,10.53562
