Year,Value
2004,41.1
2005,41.7
2006,41.9
2007,41.6
2008,41.8
2009,42.3
2010,41.1
2011,41.4
2012,42.1
2013,41.5
2014,41.6
2015,41.5
2016,41.7
2017,41.6
2018,42.3
2019,41.8
