Year,UPPER_BOUND,LOWER_BOUND,Value
2000,1050,78,421
2001,994,82,409
2002,931,85,393
2003,863,89,376
2004,796,93,358
2005,735,97,341
2006,681,99,325
2007,633,102,310
2008,588,103,296
2009,546,105,282
2010,504,106,268
2011,412,133,253
2012,423,107,239
2013,385,106,224
2014,343,105,207
2015,274,125,192
2016,257,112,177
2017,231,108,164
2018,209,103,151
2019,188,98,140
2020,178,92,132
