Year,UPPER_BOUND,LOWER_BOUND,Value
2000,1250,839,1030
2001,1190,814,988
2002,1180,818,985
2003,1170,812,972
2004,1110,777,929
2005,1030,726,865
2006,959,664,795
2007,889,608,731
2008,838,563,681
2009,793,522,638
2010,751,483,597
2011,715,447,558
2012,682,416,527
2013,654,388,498
2014,632,362,472
2015,607,339,446
2016,585,316,422
2017,573,298,401
