Year,Sex,Value
2000,,6.8
2005,,6.3
2010,,5.9
2015,,5.5
2018,,5.2
2019,,5.2
2020,,5.1
2000,Female,2.0
2005,Female,1.8
2010,Female,1.6
2015,Female,1.5
2018,Female,1.4
2019,Female,1.4
2020,Female,1.3
2000,Male,11.6
2005,Male,10.8
2010,Male,10.1
2015,Male,9.4
2018,Male,9.0
2019,Male,9.0
2020,Male,8.8
