Year,UPPER_BOUND,LOWER_BOUND,SDG Series,Upper bound value,Lower bound value,Value
2000,15.5298,12.5335,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,15.5298
2001,15.5298,12.5335,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,15.5298
2002,15.5298,12.5335,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,15.5298
2003,15.5298,12.5335,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,15.5298
2004,15.5298,12.5335,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,15.5298
2005,15.6218,12.6807,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,15.6218
2006,15.6218,12.6807,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,15.6218
2007,15.6218,12.6807,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,15.6218
2008,15.6218,12.6807,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,15.6218
2009,15.6218,12.6807,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,15.6218
2010,15.6218,12.6807,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,15.6218
2011,15.6218,12.6807,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,15.6218
2012,15.6393,12.6981,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,15.63925
2013,15.7585,12.8173,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,15.7585
2014,15.7585,12.8173,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,15.7585
2015,15.7585,12.8173,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,15.7585
2016,15.7585,12.8173,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,15.7585
2017,16.3169,16.3169,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,16.31693
2018,16.3169,16.3169,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,16.31693
2019,16.3169,16.3169,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,16.31693
2020,16.3169,16.3169,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,16.31693
