Year,UPPER_BOUND,LOWER_BOUND,SDG Series,Upper bound value,Lower bound value,Value
2021,16.3169,16.3169,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.3169,16.3169,16.31693
2000,12.4001,11.2806,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,12.37953
2001,12.4001,11.2806,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,12.37953
2002,12.4001,11.2806,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,12.37953
2003,12.4101,11.2906,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,12.38952
2004,12.4101,11.2906,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,12.38952
2005,12.4962,11.3767,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,12.49615
2006,12.4962,11.3767,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,12.49615
2007,13.0054,11.8859,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,13.00542
2008,13.0054,11.8859,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,13.00542
2009,13.0054,11.8859,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,13.00542
2010,13.1138,11.9943,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,13.11381
2011,14.468,13.3583,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,14.46802
2012,14.4778,13.379,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,14.47784
2013,15.0161,13.9172,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,15.01612
2014,15.0161,13.9172,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,15.01612
2015,15.0161,13.9172,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,15.01612
2016,15.0161,13.9172,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,15.01612
2017,16.4303,16.4303,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,16.43032
2018,16.4303,16.4303,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,16.43032
2019,16.4303,16.4303,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,16.43032
2020,16.4303,16.4303,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,16.43032
2021,16.4303,16.4303,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],16.4303,16.4303,16.43032
