Year,SDG Series,Value
2010,Amount of tracked exported Environmentally Sound Technologies [17.7.1],12327461
2011,Amount of tracked exported Environmentally Sound Technologies [17.7.1],6174671
2012,Amount of tracked exported Environmentally Sound Technologies [17.7.1],13832151
2013,Amount of tracked exported Environmentally Sound Technologies [17.7.1],9099377
2014,Amount of tracked exported Environmentally Sound Technologies [17.7.1],30475724
2015,Amount of tracked exported Environmentally Sound Technologies [17.7.1],18931226
2016,Amount of tracked exported Environmentally Sound Technologies [17.7.1],12537441
2017,Amount of tracked exported Environmentally Sound Technologies [17.7.1],19039306
2018,Amount of tracked exported Environmentally Sound Technologies [17.7.1],16386533
2019,Amount of tracked exported Environmentally Sound Technologies [17.7.1],16608352
2020,Amount of tracked exported Environmentally Sound Technologies [17.7.1],20735316
2010,Amount of tracked imported Environmentally Sound Technologies [17.7.1],547199543
2011,Amount of tracked imported Environmentally Sound Technologies [17.7.1],539000910
2012,Amount of tracked imported Environmentally Sound Technologies [17.7.1],829966916
2013,Amount of tracked imported Environmentally Sound Technologies [17.7.1],768912386
2014,Amount of tracked imported Environmentally Sound Technologies [17.7.1],1328237508
2015,Amount of tracked imported Environmentally Sound Technologies [17.7.1],1189068317
2016,Amount of tracked imported Environmentally Sound Technologies [17.7.1],1183303898
2017,Amount of tracked imported Environmentally Sound Technologies [17.7.1],1039195982
2018,Amount of tracked imported Environmentally Sound Technologies [17.7.1],1023371756
2019,Amount of tracked imported Environmentally Sound Technologies [17.7.1],965463532
2020,Amount of tracked imported Environmentally Sound Technologies [17.7.1],828355864
2010,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],5338523
2011,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],2812783
2012,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],4429282
2013,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],3138414
2014,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],3297133
2015,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],1177458
2016,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],4729732
2017,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],14765073
2018,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],9804792
2010,Amount of tracked re-imported Environmentally Sound Technologies [17.7.1],1407
2014,Amount of tracked re-imported Environmentally Sound Technologies [17.7.1],2278
2015,Amount of tracked re-imported Environmentally Sound Technologies [17.7.1],2006
2016,Amount of tracked re-imported Environmentally Sound Technologies [17.7.1],681
2017,Amount of tracked re-imported Environmentally Sound Technologies [17.7.1],3595
2018,Amount of tracked re-imported Environmentally Sound Technologies [17.7.1],1211
